_id,Name,Code,IERS DOMES Number,Description,Latitude,Longitude,Height in meter,Receiver Type,Satellite System,Antenna Type,Elevation Mask in Degree,Recording Rate,Comment,State
1,Sri Aman,AMAN,22775M001,Geodetic ground marker (circle plate with bolt). On top of 6 meter concrete monument.,1.221860592,111.5256687,52.2518,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SK Seri Aman, Kg Muhibbah, Sri Aman, Sarawak.",Sarawak
2,Arau,ARAU,22701M001,Geodetic ground marker (circle plate with bolt) 3.547 meter stainless steel pillar on top of concrete based.,6.450158078,100.3973582,18.089,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"Universiti Teknologi MARA, Kampus Arau, Perlis.",Perlis
3,Ayer Lanas,AYER,22764M001,Geodetic ground marker (circle plate with bolt). On top of 6 meter concrete monument.,5.750245519,101.9514527,67.2625,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"Maktab Rendah Sains Mara Ayer Lanas, Jeli, Kelantan.",Kelantan
4,Bandar Baharu,BABH,22721M002,Geodetic ground marker (circle plate with bolt). 1.5 meter stainless steel pillar on top of the building.,5.146659094,100.5866014,9.0105,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"Universiti Sains Malaysia, Nibong Tebal, Pulau Pinang.",Pulau Pinang
5,Bahau,BAHA,22740M001,Geodetic ground marker (circle plate with bolt). 3 meter concrete monument.,2.80650725,102.4787827,67.3853,TRIMBLE NETR9,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMK Datuk Mansor, Bahau, Negeri Sembilan.",Negeri Sembilan
6,Banding,BAND,22796M001,BAND,5.55173828,101.3756859,263.4974,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"Kompleks Pusat Perikanan Darat, Banding, Perak.",Perak
7,Banting,BANT,22720M003,Geodetic ground marker (circle plate with bolt). 1.5 meter stainless steel pillar on top of the concrete roof.,2.825956588,101.5735033,8.7997,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"SMK Sg Manggis, Banting, Selangor.",Selangor
8,BAYO,BAYO,22793M001,BAYO,5.2513378,100.8073269,20.8794,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"SMK Sungai Bayor, Perak.",Perak
9,Behrang,BEHR,22734M001,Geodetic ground marker (circle plate with bolt). 2.5 meter concrete monument.,3.765370483,101.5221091,68.732,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"Institut Tanah dan Ukur Negara (INSTUN), Behrang Ulu, Perak.",Perak
10,Belaga,BELA,22780M001,Geodetic ground marker (circle plate with bolt). On top of 6 meter concrete monument.,3.045316194,114.0595404,218.1058,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SK Batu Keling, Sg. Asap, Sarawak.",Sarawak
